module_id	strictest_pval	n_genes	n_domains	tokenised_genes
143	0.011604917125786218	6	7	AMP-binding_c30,Chal_sti_synt_N_c11;Chal_sti_synt_C_c13,DegT_DnrJ_EryC1_c17,GHMP_kinases_N,PTase_Orf2,polyprenyl_synt_c19
144	0.05403514946116472	6	7	DegT_DnrJ_EryC1_c12,Epimerase_c17,Epimerase_c45,GFO_IDH_MocA_c25,Glyco_trans_4_4_c28;UDPGT_c13,dTDP_sugar_isom
145	0.048168831118634396	3	3	Gln-synt_C,Lyase_1,Putative_PNPOx_c32
146	0.03946656062798323	3	6	3HCDH_N;3HCDH;F420_oxidored,GFO_IDH_MocA_c2,NAD_binding_8_c18;GMC_oxred_C_c35
147	0.03443404909924154	3	4	Epimerase_c9,NTP_transferase;MannoseP_isomer,NUDIX
148	0.061018601835402496	3	3	AMP-binding_c30,DHQS,FAD_binding_3_c31
149	0.003889104096333911	3	4	AMP-binding_c3;AMP-binding_C_c25,Ectoine_synth,Transglut_core
150	0.00309679186864695	6	7	AMP-binding_c40;AMP-binding_C_c48,Abhydrolase_1_c26,Acyl_transf_1_c44,B12-binding_c31,Met_asp_mut_E,Orn_Arg_deC_N_c6
151	0.017326977758616677	5	6	Aminotran_1_2_c39,Chal_sti_synt_N_c17;Chal_sti_synt_C_c24,ECH_1_c42,FAD_binding_3_c50,Sulfotransfer_1
152	0.03229407885928471	5	12	AMP-binding_c43;AMP-binding_C_c61,Abhydrolase_1_c26,Aminotran_1_2_c36,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;KR_c5;PP-binding_c13,Radical_SAM_c22
153	0.050086503718458734	3	3	Scytalone_dh,adh_short_c34,p450_c23
154	0.00011680972386039528	3	5	GHMP_kinases_N,Lyase_1,PALP;ATPgrasp_N;ATP-grasp_4
155	0.04639866738575054	3	9	Abhydrolase_1_c26,DegT_DnrJ_EryC1_c46,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;KR_c5;PP-binding_c13
156	0.018549022233862806	3	3	FAD_binding_3_c10,UbiA,polyprenyl_synt_c4
157	0.03856417697722556	8	10	ABM_c11,ACP_syn_III_c51;ACP_syn_III_C_c5,Acyl_transf_1_c46,Epimerase_c45,GFO_IDH_MocA_c25,Polyketide_cyc2,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
158	0.05388861548562795	9	18	4HBT_c18,AMP-binding_c1;AMP-binding_C_2,Abhydrolase_1_c9,Anth_synt_I_N;Chorismate_bind_c53,GMC_oxred_N;GMC_oxred_C_c22,MDMPI_N;Wyosine_form,Neocarzinostat,PP-binding_c21,ketoacyl-synt_c77;Ketoacyl-synt_C_c27;KAsynt_C_assoc;Acyl_transf_1_c34;adh_short_c9;PS-DH_c29
159	0.029319154634801264	3	3	Aminotran_4,HMGL-like,Iso_dh
160	0.051597967598077506	4	5	GHMP_kinases_N,GHMP_kinases_N;GHMP_kinases_C,HMG-CoA_red,PTase_Orf2
161	0.017350274509676904	3	4	PP-binding_c36,ketoacyl-synt_c12,ketoacyl-synt_c16;Ketoacyl-synt_C_c30
162	0.056157708290817954	4	5	Abhydrolase_1_c8,Cyclase_polyket,FAD_binding_3_c42;adh_short_c18,adh_short_c50
163	0.06198768218498349	3	3	CTP_transf_like,Glyco_tran_WecB,Glyphos_transf
164	0.005093335251335909	4	5	ABM_c22,DUF1772,adh_short_C2,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
165	0.05053189881885764	5	11	FAD_binding_3_c10,PhyH_c43,Pyr_redox_2_c5,adh_short_c4,ketoacyl-synt_c21;Ketoacyl-synt_C_c4;Acyl_transf_1_c25;PS-DH_c15;PP-binding_c34;Methyltransf_12_c14;Abhydrolase_3
166	0.0002711910681114275	3	4	NAD_binding_4_c21,NMO;Aminotran_3_c15,adh_short_c8
167	0.04083168410962527	5	7	AMP-binding_c26;AMP-binding_C_c61,Aminotran_1_2_c23,Carbam_trans_N,Peptidase_S15;PepX_C,TauD_c39
168	0.0408632614826487	5	7	Chal_sti_synt_N_c11;Chal_sti_synt_C_c13,DegT_DnrJ_EryC1_c17,GHMP_kinases_N,HMG_CoA_synt_N;ACP_syn_III_C_c32,PTase_Orf2
169	0.0003672885029915097	3	22	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;adh_short_c9;PP-binding_c13,ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;adh_short_c9;PP-binding_c13;Thioesterase_c29
170	0.0024550177520818958	3	5	DegT_DnrJ_EryC1_c9,Methyltransf_13;Methyltransf_23;Methyltransf_14,Methyltransf_25_c18
171	0.01780569499771328	3	3	Abhydrolase_3,Acetyltransf_8,K_oxygenase_c44
172	0.043226754013859156	3	3	DegT_DnrJ_EryC1_c46,DegT_DnrJ_EryC1_c6,NTP_transferase
173	0.03511390205255741	6	8	ADH_N_c37;ADH_zinc_N_c59,AMP-binding_c30,Chorismate_bind_c38;GATase_c53,DAHP_synth_2_c18,FAD_binding_3_c31,Isochorismatase_c20
174	0.056281189675326054	7	9	DegT_DnrJ_EryC1_c9,Epimerase_c2,GFO_IDH_MocA_c25,Methyltransf_13;Methyltransf_23;Methyltransf_14,NTP_transferase,UDPGT_c13,dTDP_sugar_isom
175	0.006110911801761206	3	3	DegT_DnrJ_EryC1_c9,Epimerase_c45,Methyltransf_25_c18
176	0.0016308762719280806	3	3	Carbam_trans_N,GFO_IDH_MocA_c17,TauD_c39
177	0.0469769029403557	3	5	DUF1729;MaoC_dehydratas;Acyl_transf_1_c19,p450_c3,p450_c45
178	0.00552038794557738	4	5	Chorismate_bind_c38;GATase_c53,DAHP_synth_2_c18,Isochorismatase_c20,adh_short_c30
179	0.0020820289287731292	8	11	Cyclase_polyket,FAD_binding_3_c42,FAD_binding_3_c42;adh_short_c18,PP-binding_c9,Polyketide_cyc2,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c20;Ketoacyl-synt_C_c62
180	0.0005864438995410524	3	3	B12-binding_c14,Met_asp_mut_E,Orn_Arg_deC_N_c6
181	0.04253285072167269	3	4	ADH_N_c17;ADH_zinc_N_c24,FAD_binding_3_c9,Transferase_c23
182	0.055769178960555554	4	4	AMP-binding_c52,Amidohydro_2,DHQS,FAD_binding_3_c31
183	0.05725859426169379	3	4	AMP-binding_c30;AMP-binding_C_c39,CM_2,Thioesterase_c22
184	0.01548466307844988	3	4	Epimerase_c9,Glyco_transf_28;UDPGT_c50,TylF
185	0.0014777385868369106	10	15	Aminotran_1_2_c39,Chal_sti_synt_N_c17;Chal_sti_synt_C_c24,Condensation_c6;AMP-binding_c3;AMP-binding_C_c60;PP-binding_c4,ECH_1_c16,ECH_1_c42,FAD_binding_3_c50,FMN_dh,Glyoxalase_c27;Glyoxalase_c6,PDH,Peptidase_M15
186	0.04794826880968322	4	17	ADH_N_c17;ADH_zinc_N_c24,ketoacyl-synt_c31;Ketoacyl-synt_C_c11;KAsynt_C_assoc;Acyl_transf_1_c9;PS-DH_c14;Methyltransf_12_c14;adh_short_c9;PP-binding_c7;Condensation_c22;AMP-binding_c26;AMP-binding_C_c27;PP-binding_c11;NAD_binding_4_c21,p450_c15,p450_c17
187	0.002204919248312838	3	3	DegT_DnrJ_EryC1_c46,DegT_DnrJ_EryC1_c6,Radical_SAM_c31
188	0.026496982242081493	3	3	Aminotran_3_c22,DegT_DnrJ_EryC1_c3,QueF
189	0.021656539922985833	4	4	FAD_binding_3_c21,Trp_DMAT_c3,p450_c3,p450_c7
190	0.04793002270961278	3	6	AMP-binding_c53;AMP-binding_C_c87,Methyltransf_25_c6,PALP;ATPgrasp_N;ATP-grasp_4
191	2.2405985304759728e-05	4	7	3HCDH_N;3HCDH,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c24,HAD_2_c55,Methyltransf_3
192	6.467730381616864e-07	7	7	DegT_DnrJ_EryC1_c12,Epimerase_c2,Epimerase_c45,GFO_IDH_MocA_c25,NTP_transferase,UDPGT_c13,dTDP_sugar_isom
193	0.008867542355015235	3	4	AMP-binding_c43;AMP-binding_C_c61,Acyl_transf_1_c39,PP-binding_c15
194	0.030953300072105668	4	8	DUF1772,Lactamase_B,Scytalone_dh,ketoacyl-synt_c18;Ketoacyl-synt_C_c4;Acyl_transf_1_c13;PS-DH_c1;PP-binding_c17
195	0.01139675279843041	6	6	DegT_DnrJ_EryC1_c9,Epimerase_c2,Epimerase_c45,GFO_IDH_MocA_c25,NTP_transferase,adh_short_c50
196	0.0016505481565333303	4	6	Aminotran_5_c31,FAD_binding_6;NAD_binding_1;Fer2,PaaA_PaaC,Trp_dioxygenase
197	0.017247094808008442	3	12	FAD_binding_3_c9,FSH1,ketoacyl-synt_c11;Ketoacyl-synt_C_c55;KAsynt_C_assoc;Acyl_transf_1_c9;PS-DH_c2;Methyltransf_12_c14;ADH_N_c13;ADH_zinc_N_c8;adh_short_c9;PP-binding_c7
198	0.011070439551517998	7	10	Epimerase_c2,Epimerase_c45,GFO_IDH_MocA_c25,Glyco_trans_4_4_c28;UDPGT_c13,Methyltransf_13;Methyltransf_11_c23;Methyltransf_14,NTP_transferase,dTDP_sugar_isom
199	0.05135544435693628	3	4	Epimerase_c2,Glyco_trans_4_4_c28;DUF1205_c1,adh_short_c50
200	0.04516737473452775	3	11	Amino_oxidase_c30,Aminotran_3_c2,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13;NAD_binding_4_c21
201	0.0387428398965239	4	6	Aminotran_3_c22,B12-binding_c51;Radical_SAM_c26,DHQ_synthase_c32,Glyco_transf_4_c4;Glycos_transf_1_c2
202	0.01526168334009329	5	6	Chorismate_bind_c38;GATase_c53,DAHP_synth_2_c18,FAD_binding_3_c31,Isochorismatase_c20,PhzC-PhzF_c9
203	0.00606124421611553	3	6	Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c11,Oxidored_FMN_c53;Pyr_redox_2_c4,adh_short_C2
204	0.03964150307965276	4	4	Epimerase_c2,Glycos_transf_2_c19,NTP_transferase,dTDP_sugar_isom
205	0.05425361241918556	4	4	2-oxoacid_dh,ACP_syn_III_c39,HAD_2_c55,PP-binding_c59
206	0.010847201851651035	8	10	DegT_DnrJ_EryC1_c9,Epimerase_c2,Epimerase_c45,GFO_IDH_MocA_c25,Methyltransf_13;Methyltransf_11_c23;Methyltransf_14,NTP_transferase,UDPGT_c13,dTDP_sugar_isom
207	0.021098864823304968	7	10	Condensation_c15,GATase_7_c9;Asn_synthase_c4,Glyco_transf_9,PP-binding_c23,PP-binding_c4;Condensation_c11,PfkB;CTP_transf_like,Thioesterase_c29
208	1.4575281912785708e-06	3	4	AMP-binding_c16,Acyl-CoA_dh_M;Acyl-CoA_dh_1_c41,PP-binding_c16
209	0.03878795491375639	3	4	Asn_synthase_c15,B12-binding_c13;Radical_SAM_c14,Peptidase_S58
210	0.05631214762981037	3	4	DIOX_N_c17;2OG-FeII_Oxy_c21,Glyco_hydro_15,HAD_2_c7
211	0.011967945910727393	3	4	AMP-binding_c32;AMP-binding_C_c48,Acyl_transf_1_c39,Thioesterase_c22
212	0.00023427291158795987	3	3	Acetyltransf_3_c24,DegT_DnrJ_EryC1_c6,FdtA
213	0.0076490085853280826	3	4	Chal_sti_synt_N_c17;Chal_sti_synt_C_c24,PMT,dTDP_sugar_isom
214	0.046627703019382974	4	5	FabA_c5,PP-binding_c24,ketoacyl-synt_c12,ketoacyl-synt_c16;Ketoacyl-synt_C_c35
215	0.03511390205255741	6	7	AMP-binding_c30,Chorismate_bind_c38;GATase_c53,DAHP_synth_2_c18,GHMP_kinases_N,HMG-CoA_red,PTase_Orf2
216	0.0606188139650536	4	12	ADH_N_c13;ADH_zinc_N_c16,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13,Thioesterase_c22,p450_c5
217	0.009006779722645734	3	19	Condensation_c18;AMP-binding_c3;AMP-binding_C_c23;PP-binding_c14;NAD_binding_4_c21,ketoacyl-synt_c27;Ketoacyl-synt_C_c39;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c12;adh_short_c9;PP-binding_c48,ketoacyl-synt_c37;Ketoacyl-synt_C_c16;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c12;adh_short_c9;PP-binding_c48
218	0.03507115225708762	4	6	ACP_syn_III_c33;ACP_syn_III_C_c3,GHMP_kinases_N,HMG-CoA_red,HMG_CoA_synt_N;ACP_syn_III_C_c32
219	0.010948200147206332	4	12	AMP-binding_c43;AMP-binding_C_c61,Abhydrolase_1_c26,Acyl_transf_1_c44,ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13;Thioesterase_c29
220	0.0410908143203079	3	4	FAD_binding_4;BBE,Methyltransf_33,Trp_DMAT_c3
221	0.03383488605260105	5	6	Aminotran_3_c22,DHQ_synthase_c32,DegT_DnrJ_EryC1_c3,GMC_oxred_N;GMC_oxred_C_c35,Radical_SAM_c54
222	0.015247480837426245	4	8	ACP_syn_III_c33;ACP_syn_III_C_c38,AMP-binding_c43;AMP-binding_C_c61,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c36,PP-binding_c15
223	0.06058860253507516	3	4	ABM_c11,AMP-binding_c14;AMP-binding_C_c19,FAD_binding_3_c59
224	0.03980239703635586	3	4	Epimerase_c2,Glyco_trans_4_4_c28;DUF1205_c1,dTDP_sugar_isom
225	0.0031678522373733827	3	5	FAD_binding_6;NAD_binding_1;Fer2,Trp_dioxygenase,adh_short_c18
226	0.05115805304250669	6	8	4HBT_c18,FAD_binding_3_c7,GMC_oxred_N;GMC_oxred_C_c22,MDMPI_N;Wyosine_form,Neocarzinostat,p450_c4
227	0.0015797782336672143	4	5	AMP-binding_c43;AMP-binding_C_c61,Abhydrolase_1_c26,Acyl_transf_1_c44,PP-binding_c15
228	0.0402718149638617	3	3	Pyr_redox_2_c5,p450_c3,p450_c45
229	0.02042691709636087	5	5	Catalase,Methyltransf_33,Oxidored_FMN_c12,PhyH_c43,adh_short_c4
230	0.000341843122635543	3	3	CTP_transf_3,Epimerase_2,NeuB
231	0.018457066929530124	5	7	GHMP_kinases_N,HMG-CoA_red,HMG_CoA_synt_N;HMG_CoA_synt_C;ACP_syn_III_C_c32,PTase_Orf2,polyprenyl_synt_c19
232	0.007237306391155948	5	6	Cyclase,FAD_binding_3_c5,FAD_binding_3_c59,adh_short_C2,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
233	0.015520951254710768	4	9	2-oxoacid_dh,ACP_syn_III_c39,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PP-binding_c13,PP-binding_c59
234	0.040298229789348314	7	10	Asp_Arg_Hydrox,Condensation_c15,GATase_7_c9;Asn_synthase_c4,PP-binding_c23,PP-binding_c4;Condensation_c11,PfkB;CTP_transf_like,Radical_SAM_c46
235	0.027414095275263225	5	6	Aminotran_3_c22,Antibiotic_NAT,DHQ_synthase_c32,GMC_oxred_N;GMC_oxred_C_c35,Glyco_trans_1_4_c28
236	0.055069070723468706	5	7	AMP-binding_c40;AMP-binding_C_c48,AMP-binding_c53;AMP-binding_C_c61,Abhydrolase_1_c26,Orn_Arg_deC_N_c6,PP-binding_c15
237	0.03507115225708762	4	5	Amino_oxidase_c4,PP-binding_c24,ketoacyl-synt_c12,ketoacyl-synt_c16;Ketoacyl-synt_C_c35
238	0.04889785249778913	4	5	FAD_binding_3_c42,Putative_PNPOx_c17,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
239	0.051597967598077506	3	3	AMP-binding_c16,PP-binding_c16,Rubredoxin
240	0.0021092070836654553	4	5	AMP-binding_c43;AMP-binding_C_c61,Abhydrolase_1_c26,Acyl_transf_1_c45,Aminotran_1_2_c36
241	0.013076937021107906	6	7	AMP-binding_c30,Chal_sti_synt_N_c11;Chal_sti_synt_C_c13,GHMP_kinases_N,HMG-CoA_red,PTase_Orf2,polyprenyl_synt_c19
242	0.04972804869526186	5	7	Cyclase,PP-binding_c9,Polyketide_cyc,ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c20;Ketoacyl-synt_C_c8
243	2.2930568705761224e-05	4	5	Chorismate_bind_c38;GATase_c53,DAHP_synth_2_c29,Isochorismatase_c20,adh_short_c30
244	0.05637906402542102	3	3	Epimerase_c31,HAD_2_c31,PhyH_c18
245	0.0037215767715285787	3	3	Acetyltransf_8,Pyr_redox_2_c7,Pyridoxal_deC
246	6.599031728687758e-05	3	7	Acetyltransf_1_c17;Acetyltransf_18,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c9,GMC_oxred_N;GMC_oxred_C_c32
247	1.9563421809929513e-05	3	5	Terpene_synth_c3;Terpene_synth_C_c16,Terpene_synth_c7;Terpene_synth_C_c17,p450_c1
248	0.02699417853384113	4	9	ACP_syn_III_c23;ACP_syn_III_C_c28,Aminotran_3_c35,Lipase_3,ketoacyl-synt_c40;Ketoacyl-synt_C_c39;KAsynt_C_assoc;Acyl_transf_1_c18;PP-binding_c37
249	0.024215738690496137	5	7	4HBT_c18,CMD,GMC_oxred_N;GMC_oxred_C_c22,MDMPI_N;Wyosine_form,Neocarzinostat
250	0.02762799072327103	6	7	Acyl-CoA_dh_2,DegT_DnrJ_EryC1_c12,PP-binding_c9,Polyketide_cyc2,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
251	0.03188691697721622	3	11	adh_short_c10,adh_short_c39,ketoacyl-synt_c26;Ketoacyl-synt_C_c29;KAsynt_C_assoc;Acyl_transf_1_c27;PS-DH_c25;ADH_N_c13;ADH_zinc_N_c8;adh_short_c9;PP-binding_c7
252	0.030484221988955652	3	16	ADH_N_c17;ADH_zinc_N_c24,Abhydrolase_1_c14,ketoacyl-synt_c31;Ketoacyl-synt_C_c11;KAsynt_C_assoc;Acyl_transf_1_c9;PS-DH_c14;Methyltransf_12_c14;adh_short_c9;PP-binding_c7;Condensation_c22;AMP-binding_c26;AMP-binding_C_c27;PP-binding_c11;NAD_binding_4_c21
253	0.004716720555065062	4	5	AMP-binding_c43;AMP-binding_C_c61,Abhydrolase_1_c26,Acyl_transf_1_c45,PP-binding_c15
254	0.04957132190165369	4	7	Chal_sti_synt_N_c17;Chal_sti_synt_C_c24,ECH_1_c16,ECH_1_c42,TPP_enzyme_N_c14;TPP_enzyme_M;TPP_enzyme_C_c5
255	0.0517907297408185	3	9	ACP_syn_III_c39,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;KR_c5;PP-binding_c13,FAD_binding_3_c42
256	0.009586667143291368	3	7	MTHFR,PfkB,S-methyl_trans;Pterin_bind;B12-binding_2;B12-binding_c10;Met_synt_B12
257	1.807670036247399e-06	4	7	3HCDH_N;3HCDH,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c24,HAD_2_c6,Methyltransf_3
258	0.030527266090580377	4	12	FAD_binding_3_c10,Trp_DMAT_c4,adh_short_c39,ketoacyl-synt_c26;Ketoacyl-synt_C_c29;KAsynt_C_assoc;Acyl_transf_1_c27;PS-DH_c25;ADH_N_c13;ADH_zinc_N_c8;adh_short_c9;PP-binding_c7
259	0.04444895228477713	6	8	ABM_c22,Cyclase_polyket,DUF1772,Polyketide_cyc2,ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c20;Ketoacyl-synt_C_c62
260	0.056281189675326054	6	8	DegT_DnrJ_EryC1_c9,Epimerase_c17,GFO_IDH_MocA_c25,Methyltransf_13;Methyltransf_23;Methyltransf_14,UDPGT_c13,dTDP_sugar_isom
261	0.04897382161696191	3	5	AMP-binding_c30;AMP-binding_C_c39,FAD_binding_9;SIP,PP-binding_c39
262	0.021725032123487937	4	5	DHQ_synthase_c18,DIOX_N_c17;2OG-FeII_Oxy_c21,Epimerase_c48,Glyco_transf_20
263	0.009416551092452487	3	10	DegT_DnrJ_EryC1_c46,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13,Radical_SAM_c31
264	0.01727758835329148	3	4	ADH_N_c23;ADH_zinc_N_c28,FAD_binding_3_c41,Nitroreductase_c17
265	0.023626049134181554	6	7	DAHP_synth_2_c7,DHQ_synthase_c22,FAD_binding_3_c41,GFO_IDH_MocA_c20,GFO_IDH_MocA_c8;GFO_IDH_MocA_C,Shikimate_dh_N
266	0.05405130146896873	4	18	ADH_N_c13;ADH_zinc_N_c16,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PS-DH_c3;adh_short_c9;PP-binding_c13,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;adh_short_c9;PP-binding_c13,Thioesterase_c22
267	0.05860429506144899	4	15	AMP-binding_c16,AMP-binding_c16;PP-binding_c16,PP-binding_c16,ketoacyl-synt_c37;Ketoacyl-synt_C_c16;KAsynt_C_assoc;Acyl_transf_1_c18;PP-binding_c26;Aminotran_3_c35;Bac_luciferase;Condensation_c15;AMP-binding_c12;AMP-binding_C_c12;PP-binding_c66
268	0.02095494690604606	3	9	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;KR_c5;PP-binding_c13,SnoaL_2_c24,Thioesterase_c22
269	0.041007020924405536	4	10	ACP_syn_III_c39,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;KR_c5;PP-binding_c13,PP-binding_c59,Thioesterase_c22
270	0.03258145462913856	3	3	FAD_binding_3_c3,Methyltransf_11_c19,SnoaL
271	0.0408632614826487	3	10	AMP-binding_c32;AMP-binding_C_c48,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;adh_short_c9;PP-binding_c13,Thioesterase_c22
272	0.004066134892098389	3	3	Epimerase_c2,Epimerase_c56,Glycos_transf_2_c19
273	0.03783706823481453	3	4	Methyltransf_21,RGP,ketoacyl-synt_c16;Ketoacyl-synt_C_c67
274	0.0223065735098617	6	6	DegT_DnrJ_EryC1_c12,Epimerase_c17,Epimerase_c45,GFO_IDH_MocA_c25,UDPGT_c13,dTDP_sugar_isom
275	9.505626935585487e-05	4	4	Lant_dehydr_C,Lant_dehydr_N,Nitroreductase_c22,YcaO
276	0.006689400103977225	4	5	2-oxoacid_dh,ACP_syn_III_c39;ACP_syn_III_C_c54,DUF1100,PP-binding_c59
277	0.02894331239324623	5	7	AMP-binding_c26;AMP-binding_C_c61,Abhydrolase_1_c20,Aminotran_1_2_c23,Peptidase_S15;PepX_C,TauD_c39
278	0.022196615550818644	8	10	FabA_c49,FabA_c56,Glycos_transf_2_c11,Ketoacyl-synt_2,PP-binding_c28,PP-binding_c36,ketoacyl-synt_c32;Ketoacyl-synt_C_c13,ketoacyl-synt_c33;Ketoacyl-synt_C_c18
279	2.4624736107735447e-07	4	4	Amino_oxidase_c19,FA_hydroxylase,Lycopene_cycl,SQS_PSY_c16
280	0.013312064150711976	3	9	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;KR_c5;PP-binding_c13,FAD_binding_3_c7,SnoaL_2_c24
281	0.0463545419121282	3	20	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PP-binding_c13,Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c3;adh_short_c9;PP-binding_c13,ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PP-binding_c13;Thioesterase_c29
282	0.013673645816062986	13	21	Aminotran_1_2_c39,Chal_sti_synt_N_c17;Chal_sti_synt_C_c24,Condensation_c6;AMP-binding_c12;AMP-binding_C_c60;PP-binding_c22;Condensation_c20;Thioesterase_c10,DAHP_synth_1,DegT_DnrJ_EryC1_c9,ECH_1_c16,ECH_1_c42,ECH_1_c43,Glyco_transf_28;UDPGT_c50,Glyoxalase_c27;Glyoxalase_c6,Methyltransf_12_c7,PDH,Peptidase_M15
283	0.04639866738575054	3	4	AMP-binding_c53;AMP-binding_C_c61,Abhydrolase_1_c26,DegT_DnrJ_EryC1_c46
284	0.006575304974937264	7	9	ABM_c11,Cyclase_polyket,FAD_binding_3_c3,PP-binding_c9,Polyketide_cyc2,ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c20;Ketoacyl-synt_C_c65
285	0.026391171309327992	3	3	PhyH_c43,Pyr_redox_2_c5,p450_c3
286	0.015408102841504963	5	7	Acyl_transf_1_c49,ECH_1_c12,ECH_1_c34,HMG_CoA_synt_N;HMG_CoA_synt_C,ketoacyl-synt_c47;Ketoacyl-synt_C_c18
287	0.035837267640679515	7	13	Chal_sti_synt_N_c17;Chal_sti_synt_C_c24,Condensation_c6;AMP-binding_c12;AMP-binding_C_c60;PP-binding_c22;Condensation_c20;Thioesterase_c10,ECH_1_c16,ECH_1_c43,Methyltransf_12_c7,PIG-L,Peptidase_M15
288	0.04505485691004745	4	15	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;adh_short_c9;PP-binding_c13,Radical_SAM_c31,Thioesterase_c22,ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11;PP-binding_c13;Thioesterase_c29
289	0.0010602458193330678	3	6	AMP-binding_c43;AMP-binding_C_c31,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c36,PP-binding_c15
290	0.00014439540117373037	3	5	Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c43,DegT_DnrJ_EryC1_c9,Epimerase_c2
291	0.01952045831079276	5	12	AMP-binding_c30;AMP-binding_C_c22;PP-binding_c13;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c11,DegT_DnrJ_EryC1_c25,GMC_oxred_N;GMC_oxred_C_c22,UDPGT_c30,Y_phosphatase3
292	0.044499981662725646	3	3	Epimerase_c23,Methyltransf_33,Trp_DMAT_c3
293	0.057861773349684814	4	11	2-oxoacid_dh;DUF1100,ACP_syn_III_c39,PP-binding_c59,ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;PS-DH_c3;adh_short_c9;PP-binding_c13
294	0.0622642420972781	3	6	Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c36,B12-binding_c13;Radical_SAM_c9,PP-binding_c15
295	0.038622042831201915	3	4	AMP-binding_c16,Acyl-CoA_dh_M;Acyl-CoA_dh_1_c41,PP-binding_c20
